(18, 86):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(23, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(23, 79):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(5, 54):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(21, 86):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(15, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 94):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(16, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 73):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(21, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(41, 68):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(28, 83):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(16, 72):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(31, 85):  	connectivity: 3,  	local depth: 11,  	global depth: 11
(41, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 77):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 66):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(25, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 81):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(13, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 88):  	connectivity: 1,  	local depth: 16,  	global depth: 16
(22, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 70):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(22, 61):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(38, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(13, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 88):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(1, 79):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(42, 69):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(26, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(1, 83):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(0, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 82):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(14, 60):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(1, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(26, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 78):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(0, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 66):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(37, 60):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(22, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 88):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(10, 55):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(14, 78):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(55, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(0, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(4, 54):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(25, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(9, 78):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(50, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 88):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(12, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(35, 69):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(43, 82):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(37, 71):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(23, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 60):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(26, 86):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(37, 77):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 58):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(37, 78):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(34, 60):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(19, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(8, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(19, 69):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(4, 84):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(2, 65):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(27, 70):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(3, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(3, 57):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(17, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(8, 63):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(3, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 64):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(27, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 99):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(11, 86):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(7, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(34, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 64):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(30, 60):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(2, 76):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(30, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(27, 83):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(34, 77):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(11, 62):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(44, 84):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(2, 79):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(36, 66):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(11, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 72):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(30, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 87):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(3, 73):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(8, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(8, 82):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(6, 76):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(34, 85):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(40, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(47, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 80):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(0, 87):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(9, 67):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(36, 81):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(11, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(6, 66):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(9, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(40, 75):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(18, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(4, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(11, 82):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(31, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(15, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(33, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(40, 83):  	connectivity: 2,  	local depth: 9,  	global depth: 18
