(73, 39):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(61, 15):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(64, 3):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(71, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(81, 31):  	connectivity: 2,  	local depth: 9,  	global depth: 31
(41, 9):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(81, 37):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(99, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(84, 28):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(64, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(86, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 8):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(84, 34):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(81, 47):  	connectivity: 2,  	local depth: 9,  	global depth: 31
(99, 41):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(99, 37):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(99, 36):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(95, 26):  	connectivity: 1,  	local depth: 11,  	global depth: 82
(67, 15):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(71, 47):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 20):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(71, 48):  	connectivity: 2,  	local depth: 11,  	global depth: 26
(35, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 16):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(77, 28):  	connectivity: 3,  	local depth: 24,  	global depth: 45
(87, 36):  	connectivity: 3,  	local depth: 20,  	global depth: 54
(87, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(51, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 8):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(49, 4):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(90, 29):  	connectivity: 1,  	local depth: 10,  	global depth: 87
(99, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 20):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 21):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(80, 26):  	connectivity: 2,  	local depth: 28,  	global depth: 52
(90, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(57, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(87, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(96, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 8):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(58, 1):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(65, 21):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(77, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(35, 2):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(96, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(96, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 16):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(68, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(88, 30):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(71, 2):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(58, 9):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(53, 5):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(80, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 2):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(78, 29):  	connectivity: 1,  	local depth: 11,  	global depth: 92
(96, 39):  	connectivity: 3,  	local depth: 10,  	global depth: 10
(41, 3):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(91, 29):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(71, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(88, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(45, 7):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(58, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 17):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(88, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 10):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 20):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(98, 30):  	connectivity: 2,  	local depth: 14,  	global depth: 67
(92, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 12):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(92, 40):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(38, 13):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(89, 25):  	connectivity: 3,  	local depth: 10,  	global depth: 72
(50, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(91, 44):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(88, 58):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(83, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 37):  	connectivity: 2,  	local depth: 14,  	global depth: 23
(92, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(97, 45):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(59, 14):  	connectivity: 1,  	local depth: 16,  	global depth: 63
(91, 54):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(92, 25):  	connectivity: 1,  	local depth: 10,  	global depth: 87
(79, 34):  	connectivity: 2,  	local depth: 11,  	global depth: 26
(59, 18):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(38, 23):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 25):  	connectivity: 3,  	local depth: 26,  	global depth: 48
(97, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(60, 2):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(97, 29):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 10):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(72, 29):  	connectivity: 2,  	local depth: 21,  	global depth: 55
(60, 6):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(72, 32):  	connectivity: 3,  	local depth: 15,  	global depth: 64
(34, 5):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(93, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(82, 47):  	connectivity: 1,  	local depth: 16,  	global depth: 69
(75, 32):  	connectivity: 2,  	local depth: 11,  	global depth: 77
(83, 25):  	connectivity: 2,  	local depth: 16,  	global depth: 61
(85, 41):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(93, 41):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(70, 35):  	connectivity: 1,  	local depth: 13,  	global depth: 79
(70, 39):  	connectivity: 2,  	local depth: 14,  	global depth: 23
(29, 8):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 7):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(85, 55):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(31, 4):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 6):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(75, 51):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(92, 57):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(69, 5):  	connectivity: 3,  	local depth: 7,  	global depth: 7
