(89, 18):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(70, 46):  	connectivity: 1,  	local depth: 8,  	global depth: 64
(79, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 51):  	connectivity: 2,  	local depth: 11,  	global depth: 26
(62, 61):  	connectivity: 1,  	local depth: 13,  	global depth: 28
(79, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(96, 19):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(69, 13):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(41, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 66
(45, 39):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(69, 15):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(63, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(79, 24):  	connectivity: 1,  	local depth: 13,  	global depth: 48
(60, 51):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(60, 54):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(96, 10):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 29):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(82, 90):  	connectivity: 1,  	local depth: 11,  	global depth: 59
(60, 61):  	connectivity: 3,  	local depth: 17,  	global depth: 34
(69, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(70, 71):  	connectivity: 3,  	local depth: 19,  	global depth: 34
(48, 39):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(63, 55):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(60, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 76):  	connectivity: 3,  	local depth: 17,  	global depth: 39
(66, 44):  	connectivity: 2,  	local depth: 9,  	global depth: 54
(69, 1):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(85, 89):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(82, 30):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(77, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(80, 15):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(60, 71):  	connectivity: 2,  	local depth: 21,  	global depth: 34
(70, 79):  	connectivity: 2,  	local depth: 14,  	global depth: 48
(70, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 60):  	connectivity: 2,  	local depth: 14,  	global depth: 46
(63, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 51):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(63, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(97, 33):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(75, 89):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 29):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(83, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 25):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(51, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 41):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(63, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(93, 33):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(95, 90):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(63, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 47):  	connectivity: 1,  	local depth: 11,  	global depth: 33
(48, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 25):  	connectivity: 2,  	local depth: 14,  	global depth: 42
(54, 37):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(56, 54):  	connectivity: 2,  	local depth: 11,  	global depth: 24
(83, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 28):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(54, 40):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(83, 96):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 58):  	connectivity: 1,  	local depth: 8,  	global depth: 36
(86, 15):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(69, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 39):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(67, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 65
(41, 45):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(66, 76):  	connectivity: 1,  	local depth: 16,  	global depth: 50
(69, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 97):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(86, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(84, 5):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(86, 94):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(73, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
