(47, 27):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(90, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(90, 52):  	connectivity: 2,  	local depth: 14,  	global depth: 224
(80, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(87, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(47, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(80, 47):  	connectivity: 1,  	local depth: 14,  	global depth: 254
(87, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(68, 25):  	connectivity: 3,  	local depth: 15,  	global depth: 19
(83, 39):  	connectivity: 2,  	local depth: 19,  	global depth: 164
(73, 31):  	connectivity: 1,  	local depth: 11,  	global depth: 31
(68, 30):  	connectivity: 2,  	local depth: 18,  	global depth: 18
(77, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 23):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(83, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 33):  	connectivity: 3,  	local depth: 15,  	global depth: 19
(57, 54):  	connectivity: 3,  	local depth: 13,  	global depth: 66
(45, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 68):  	connectivity: 2,  	local depth: 22,  	global depth: 156
(58, 30):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(57, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 43):  	connectivity: 2,  	local depth: 20,  	global depth: 152
(82, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 278
(81, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 28):  	connectivity: 2,  	local depth: 11,  	global depth: 24
(84, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 57):  	connectivity: 2,  	local depth: 16,  	global depth: 226
(80, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(84, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 69):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(83, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(60, 55):  	connectivity: 1,  	local depth: 10,  	global depth: 79
(71, 35):  	connectivity: 2,  	local depth: 11,  	global depth: 24
(83, 62):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(68, 50):  	connectivity: 1,  	local depth: 18,  	global depth: 228
(48, 35):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(87, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 49):  	connectivity: 2,  	local depth: 16,  	global depth: 47
(81, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(83, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 35):  	connectivity: 3,  	local depth: 15,  	global depth: 59
(64, 23):  	connectivity: 1,  	local depth: 13,  	global depth: 72
(87, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 68):  	connectivity: 2,  	local depth: 9,  	global depth: 206
(48, 41):  	connectivity: 2,  	local depth: 20,  	global depth: 46
