(29, 44):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(2, 60):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(1, 36):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(14, 44):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(1, 43):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(13, 41):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(27, 63):  	connectivity: 2,  	local depth: 14,  	global depth: 56
(3, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 49):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(2, 43):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 56):  	connectivity: 2,  	local depth: 17,  	global depth: 59
(12, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(6, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 45):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 59):  	connectivity: 2,  	local depth: 14,  	global depth: 56
(1, 54):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(0, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 64):  	connectivity: 1,  	local depth: 11,  	global depth: 33
(3, 46):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(29, 67):  	connectivity: 2,  	local depth: 14,  	global depth: 55
(15, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 37):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(3, 50):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(6, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(0, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 56):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 59):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(34, 68):  	connectivity: 1,  	local depth: 13,  	global depth: 28
(28, 41):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(0, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 48):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(12, 36):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(23, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(6, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 53):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(23, 54):  	connectivity: 3,  	local depth: 12,  	global depth: 71
(0, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 68):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(27, 51):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(2, 57):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(13, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 44):  	connectivity: 1,  	local depth: 13,  	global depth: 84
(24, 51):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(37, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 66):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(18, 63):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(31, 51):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(16, 39):  	connectivity: 1,  	local depth: 3,  	global depth: 3
