(42, 5):  	connectivity: 2,  	local depth: 14,  	global depth: 27
(80, 22):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(36, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(65, 15):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(83, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 31):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(80, 32):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(81, 6):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(68, 11):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 4):  	connectivity: 2,  	local depth: 9,  	global depth: 114
(67, 40):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(81, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 4):  	connectivity: 1,  	local depth: 11,  	global depth: 94
(53, 5):  	connectivity: 2,  	local depth: 9,  	global depth: 37
(40, 10):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 10):  	connectivity: 1,  	local depth: 8,  	global depth: 45
(40, 13):  	connectivity: 2,  	local depth: 11,  	global depth: 33
(83, 34):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 35):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(43, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 22):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(36, 25):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(63, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(51, 9):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(40, 29):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(83, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 27):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 30):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(53, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(36, 29):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(77, 11):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 29):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(67, 8):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(57, 15):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(67, 11):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(41, 21):  	connectivity: 2,  	local depth: 16,  	global depth: 78
(49, 14):  	connectivity: 2,  	local depth: 17,  	global depth: 74
(41, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 10):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(77, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(80, 12):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(77, 27):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(80, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 46):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(38, 6):  	connectivity: 2,  	local depth: 17,  	global depth: 25
(80, 19):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(42, 4):  	connectivity: 2,  	local depth: 11,  	global depth: 100
(52, 14):  	connectivity: 2,  	local depth: 19,  	global depth: 68
(62, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 31):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(82, 39):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(78, 8):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(60, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(72, 36):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(70, 20):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(82, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 32):  	connectivity: 3,  	local depth: 18,  	global depth: 70
(52, 27):  	connectivity: 2,  	local depth: 11,  	global depth: 11
