(41, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(15, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 9):  	connectivity: 2,  	local depth: 14,  	global depth: 27
(19, 1):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 18):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(26, 12):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(13, 31):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(25, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 3):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 22):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(15, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(34, 0):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(24, 0):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(17, 10):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(26, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(21, 4):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 13):  	connectivity: 1,  	local depth: 11,  	global depth: 35
(30, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 4):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(33, 17):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(17, 12):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(17, 13):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(26, 24):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(8, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(15, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(25, 12):  	connectivity: 1,  	local depth: 16,  	global depth: 29
(45, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 21):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(4, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(18, 24):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(45, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(3, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 26):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(25, 9):  	connectivity: 3,  	local depth: 17,  	global depth: 21
(18, 28):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 4):  	connectivity: 3,  	local depth: 19,  	global depth: 19
(21, 24):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(34, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(23, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(8, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(18, 32):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(9, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 15):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(24, 29):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(43, 22):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(34, 32):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(22, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 5):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(42, 0):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(37, 23):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(38, 12):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(5, 48):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(44, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 43):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(27, 32):  	connectivity: 1,  	local depth: 3,  	global depth: 3
