(45, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 48):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(68, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(78, 45):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(96, 46):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(43, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(78, 46):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(76, 31):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(93, 47):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(78, 41):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(78, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(87, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(69, 51):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(69, 52):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(94, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(60, 52):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(80, 33):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(69, 40):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(79, 27):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(42, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(77, 48):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(95, 41):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(90, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 25):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(84, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(85, 42):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(89, 38):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(83, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(81, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 65):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(88, 33):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(97, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 41):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(51, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(90, 51):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(81, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 43):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(85, 48):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(66, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 46):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(87, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(89, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(83, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(80, 48):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(83, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(48, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(86, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 31):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(70, 43):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(91, 31):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(84, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(91, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(78, 38):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(91, 34):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(77, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(73, 35):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(86, 30):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(61, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 63):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(75, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(58, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 45):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(69, 41):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(59, 70):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 46):  	connectivity: 2,  	local depth: 8,  	global depth: 8
