(39, 34):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(10, 50):  	connectivity: 3,  	local depth: 10,  	global depth: 10
(36, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(2, 35):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(9, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 25):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 10):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(9, 29):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(38, 24):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(0, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 13):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(18, 25):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(12, 17):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(40, 18):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(9, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(5, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 10):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(21, 11):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(15, 29):  	connectivity: 1,  	local depth: 16,  	global depth: 29
(21, 12):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(9, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(40, 29):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(4, 18):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 18):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(0, 28):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(33, 19):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(43, 19):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(28, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
