(70, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(91, 72):  	connectivity: 1,  	local depth: 8,  	global depth: 37
(80, 63):  	connectivity: 3,  	local depth: 17,  	global depth: 21
(41, 53):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(61, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(70, 60):  	connectivity: 2,  	local depth: 9,  	global depth: 23
(47, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(83, 59):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(34, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(99, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(82, 42):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(65, 63):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(49, 79):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(66, 36):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(70, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 54):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(83, 66):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(30, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(89, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(73, 59):  	connectivity: 2,  	local depth: 11,  	global depth: 19
(49, 84):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(49, 85):  	connectivity: 1,  	local depth: 10,  	global depth: 24
(65, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 70):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(82, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(89, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(46, 74):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 66):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(66, 52):  	connectivity: 1,  	local depth: 10,  	global depth: 24
(69, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(98, 59):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 27):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(61, 55):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(82, 73):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(69, 53):  	connectivity: 3,  	local depth: 10,  	global depth: 18
(61, 61):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(71, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 37):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(52, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(87, 56):  	connectivity: 2,  	local depth: 15,  	global depth: 15
(85, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(89, 73):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(28, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(90, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(87, 63):  	connectivity: 3,  	local depth: 19,  	global depth: 19
(57, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(59, 58):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(87, 68):  	connectivity: 2,  	local depth: 17,  	global depth: 25
(65, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(67, 57):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(67, 59):  	connectivity: 1,  	local depth: 8,  	global depth: 29
(26, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
