(13, 93):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(78, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(91, 65):  	connectivity: 3,  	local depth: 10,  	global depth: 14
(55, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(25, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 52):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(39, 86):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(55, 70):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(81, 63):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(39, 88):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 60):  	connectivity: 3,  	local depth: 20,  	global depth: 76
(45, 64):  	connectivity: 3,  	local depth: 16,  	global depth: 16
(74, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(26, 73):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(48, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 67):  	connectivity: 2,  	local depth: 19,  	global depth: 19
(14, 96):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 61):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(19, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 22
(71, 64):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(37, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(81, 74):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 97):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 64):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(48, 68):  	connectivity: 2,  	local depth: 12,  	global depth: 24
(45, 80):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(74, 63):  	connectivity: 2,  	local depth: 9,  	global depth: 17
(59, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(45, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(46, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 94):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(72, 53):  	connectivity: 2,  	local depth: 16,  	global depth: 88
(59, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 67):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(49, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 98):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(59, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 72):  	connectivity: 2,  	local depth: 17,  	global depth: 66
(85, 56):  	connectivity: 1,  	local depth: 13,  	global depth: 94
(59, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 31
(43, 83):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(62, 54):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
