(5, 66):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(41, 91):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(32, 54):  	connectivity: 2,  	local depth: 14,  	global depth: 125
(10, 43):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(35, 39):  	connectivity: 2,  	local depth: 12,  	global depth: 108
(29, 42):  	connectivity: 3,  	local depth: 23,  	global depth: 76
(23, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 95):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(13, 56):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 84):  	connectivity: 2,  	local depth: 12,  	global depth: 59
(41, 98):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(68, 80):  	connectivity: 1,  	local depth: 11,  	global depth: 63
(48, 66):  	connectivity: 2,  	local depth: 17,  	global depth: 45
(35, 43):  	connectivity: 2,  	local depth: 16,  	global depth: 91
(13, 36):  	connectivity: 3,  	local depth: 18,  	global depth: 104
(8, 51):  	connectivity: 1,  	local depth: 11,  	global depth: 35
(45, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 51):  	connectivity: 2,  	local depth: 19,  	global depth: 97
(31, 89):  	connectivity: 1,  	local depth: 8,  	global depth: 71
(21, 51):  	connectivity: 2,  	local depth: 20,  	global depth: 88
(45, 81):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(36, 69):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(45, 82):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(8, 57):  	connectivity: 2,  	local depth: 21,  	global depth: 21
(68, 89):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(45, 86):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(30, 48):  	connectivity: 2,  	local depth: 14,  	global depth: 125
(14, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 96):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 46):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(35, 73):  	connectivity: 4,  	local depth: 12,  	global depth: 12
(48, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 51):  	connectivity: 3,  	local depth: 14,  	global depth: 108
(27, 58):  	connectivity: 1,  	local depth: 11,  	global depth: 144
(11, 52):  	connectivity: 2,  	local depth: 14,  	global depth: 27
(8, 65):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(14, 53):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(58, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
