(54, 40):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(52, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(22, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 53):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(48, 66):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(15, 40):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(29, 46):  	connectivity: 1,  	local depth: 19,  	global depth: 41
(51, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(34, 43):  	connectivity: 2,  	local depth: 17,  	global depth: 39
(11, 37):  	connectivity: 1,  	local depth: 13,  	global depth: 32
(20, 61):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(18, 53):  	connectivity: 2,  	local depth: 16,  	global depth: 24
(13, 26):  	connectivity: 1,  	local depth: 11,  	global depth: 34
(54, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 34):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(51, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 30):  	connectivity: 2,  	local depth: 17,  	global depth: 26
(35, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(59, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 37):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(28, 50):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(35, 64):  	connectivity: 3,  	local depth: 20,  	global depth: 20
(19, 29):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(59, 60):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 51):  	connectivity: 4,  	local depth: 18,  	global depth: 18
(22, 33):  	connectivity: 2,  	local depth: 14,  	global depth: 26
(34, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(22, 34):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(18, 23):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(52, 42):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(26, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(19, 33):  	connectivity: 2,  	local depth: 22,  	global depth: 22
(18, 59):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(35, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(44, 54):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 36):  	connectivity: 1,  	local depth: 13,  	global depth: 32
(34, 51):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(44, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(22, 37):  	connectivity: 1,  	local depth: 18,  	global depth: 37
(26, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(50, 31):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(17, 46):  	connectivity: 2,  	local depth: 15,  	global depth: 28
(47, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 66):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(19, 40):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(22, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(11, 54):  	connectivity: 2,  	local depth: 18,  	global depth: 22
(29, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 25):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 31):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(15, 60):  	connectivity: 1,  	local depth: 8,  	global depth: 36
(4, 8):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 23):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(23, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 40):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(29, 43):  	connectivity: 3,  	local depth: 16,  	global depth: 31
(34, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 38):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(50, 44):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(30, 27):  	connectivity: 2,  	local depth: 20,  	global depth: 33
(22, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(35, 24):  	connectivity: 2,  	local depth: 11,  	global depth: 39
(11, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(15, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(22, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 43):  	connectivity: 1,  	local depth: 11,  	global depth: 49
(22, 29):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(33, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 25):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(37, 47):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(26, 61):  	connectivity: 1,  	local depth: 14,  	global depth: 32
(47, 71):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(25, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(7, 7):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 69):  	connectivity: 2,  	local depth: 12,  	global depth: 30
(17, 69):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(40, 48):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(25, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
