(13, 19):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(41, 29):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(13, 26):  	connectivity: 3,  	local depth: 16,  	global depth: 16
(40, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 18):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 35):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(43, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 21):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(19, 37):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(1, 39):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(40, 23):  	connectivity: 1,  	local depth: 11,  	global depth: 30
(33, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 14):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 28):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(6, 17):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(38, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 24):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(31, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 45
(38, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 33):  	connectivity: 3,  	local depth: 10,  	global depth: 10
(24, 36):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(24, 40):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(5, 30):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(16, 20):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(36, 22):  	connectivity: 2,  	local depth: 14,  	global depth: 23
(22, 14):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(22, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(4, 23):  	connectivity: 3,  	local depth: 15,  	global depth: 19
(23, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(4, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(36, 33):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(4, 33):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(22, 29):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(3, 15):  	connectivity: 1,  	local depth: 13,  	global depth: 26
(3, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 17):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(3, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 21):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(34, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 26):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(42, 26):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(34, 25):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(15, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(21, 31):  	connectivity: 1,  	local depth: 19,  	global depth: 23
(41, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(21, 33):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(14, 27):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(34, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 47):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 36):  	connectivity: 3,  	local depth: 16,  	global depth: 25
(42, 41):  	connectivity: 2,  	local depth: 18,  	global depth: 26
(12, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 43):  	connectivity: 1,  	local depth: 16,  	global depth: 35
(26, 25):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(7, 34):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(25, 15):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(18, 17):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(12, 30):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(0, 20):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 18):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(12, 33):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(32, 36):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(30, 14):  	connectivity: 1,  	local depth: 16,  	global depth: 25
(25, 21):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(30, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(0, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(18, 37):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(17, 14):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(17, 19):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 18):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 36):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(37, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 26):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(44, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 36):  	connectivity: 2,  	local depth: 21,  	global depth: 25
(44, 22):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(45, 41):  	connectivity: 3,  	local depth: 20,  	global depth: 24
(44, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 45):  	connectivity: 2,  	local depth: 16,  	global depth: 29
(37, 37):  	connectivity: 2,  	local depth: 17,  	global depth: 32
(44, 30):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(37, 41):  	connectivity: 3,  	local depth: 17,  	global depth: 26
(29, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 49):  	connectivity: 2,  	local depth: 12,  	global depth: 36
(9, 30):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(44, 50):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(8, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 34):  	connectivity: 1,  	local depth: 11,  	global depth: 41
(27, 15):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(13, 14):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(8, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(1, 24):  	connectivity: 1,  	local depth: 13,  	global depth: 26
